method,pinn_ms,filter_ms,total_ms,total_ms_std,total_ms_median
EKF,0.00039115004862348235,53.366410624449294,53.36894180400608,33.84353884161279,51.293809001217596
Adaptive-EKF,0.0002842834170830126,25.996841175030575,25.9982085168643,18.36247279729049,25.468598503503017
UKF,0.00046899990896539135,72.52980263360465,72.53280065000583,9.794784804850188,71.50014400307555
MEKF,0.000275725033134222,27.299022841592283,27.300442895638596,12.086212749836704,26.38995850342326
PINN-only,0.18880178762386393,0.0,0.5632414333328294,0.049336717086768275,0.5404654977610335
Transformer-only,0.6988678499813736,0.0,1.1408004254917614,0.051977237168730824,1.115718501387164
PINN+EKF,0.35727711680616875,20.18010924609067,20.538412521277984,0.5794950631778497,19.92867650289554
PINN+UKF,0.3574660791976689,21.66709587516865,22.02559255843031,0.5109129962752771,21.4481210015947
PINN+MEKF,0.3962143459017776,24.589435962518714,24.986680062696298,0.510334986030905,24.293775998521596
Transformer+MEKF,0.9564925752832399,24.847082532898643,25.80466973749572,0.6381668844191495,25.335006000241265
PINN+UKF+MEKF,0.48746586249520385,46.2816637292223,46.78655087894002,0.8571160870279521,46.43189249502029
